generated,reference,distance,changes,features_comment,features_documented,address
xšnaōϑra,xšnaōϑra,0,,,,"[{'id': 'Y0.1Ext.a', 'index': 0}]"
ahurahe,ahurahe,0,,,,"[{'id': 'Y0.1Ext.a', 'index': 1}]"
mazdā,mazdā,0,,,,"[{'id': 'Y0.1Ext.a', 'index': 2}]"
aṣ̌əm,aṣ̌əm,0,,,,"[{'id': 'Y0.1Ext.a', 'index': 3}, {'id': 'Y0.1ExtAV.a', 'index': 0}, {'id': 'Y0.1ExtAV.a', 'index': 1}]"
vohī,vohū,1,ī to ū,,False,"[{'id': 'Y0.1ExtAV.a', 'index': 2}]"
yaϑā,yaϑā,0,,,,"[{'id': 'Y0.1ExtAV.a', 'index': 3}, {'id': 'Y0.1ExtYAV.a', 'index': 0}]"
ahī,ahū,0,ī to ū,,False,"[{'id': 'Y0.1ExtYAV.a', 'index': 1}]"
vairiiō,vairiiō,0,,,,"[{'id': 'Y0.1ExtYAV.a', 'index': 2}, {'id': 'Y0.1ExtYAV.a', 'index': 3}]"
xšnaōϑra,xšnaōϑra,0,,,,"[{'id': 'Y0.1ExtYAV.a', 'index': 4}, {'id': 'Y0.1Ext.b', 'index': 0}]"
ahurahe,ahurahe,0,,,,"[{'id': 'Y0.1Ext.b', 'index': 1}, {'id': 'Y0.1Ext.b', 'index': 2}]"
mazdā,mazdā,0,,,,"[{'id': 'Y0.1Ext.b', 'index': 3}]"
aṣ̌əm,aṣ̌əm,0,,,,"[{'id': 'Y0.1Ext.b', 'index': 4}, {'id': 'Y0.1AV', 'index': 0}]"
vohī,vohū,1,ī to ū,,False,"[{'id': 'Y0.1AV', 'index': 1}]"
astī,astī,0,,,,"[{'id': 'Y0.1Ext.c', 'index': 1}]"
āϑraš,āϑriš,1,a to i,,False,"[{'id': 'Y0.1Ext.c', 'index': 2}]"
mazdā,mazdā,0,,,,"[{'id': 'Y0.1Ext.c', 'index': 3}]"
ahurahe,ahurahe,0,,,,"[{'id': 'Y0.1Ext.c', 'index': 4}]"
hudā,hudā̊,1,ā to ā̊,,False,"[{'id': 'Y0.1Ext.c', 'index': 5}]"
mazišta,mazišta,0,,,,"[{'id': 'Y0.1Ext.c', 'index': 6}]"
yəzeta,yazata,2,"ə to a, e to a",,False,"[{'id': 'Y0.1Ext.c', 'index': 7}]"
xšnaōϑra,xšnaōϑra,0,,,,"[{'id': 'Y0.1Ext.c', 'index': 8}, {'id': 'Y0.1Ext.c', 'index': 9}]"
ahurahe,ahurahe,0,,,,"[{'id': 'Y0.1Ext.c', 'index': 10}]"
mazdā,mazdā,0,,,,"[{'id': 'Y0.1Ext.c', 'index': 11}]"
aṣ̌əm,aṣ̌əm,0,,,,"[{'id': 'Y0.1Ext.c', 'index': 12}, {'id': 'Y0.2AV', 'index': 0}]"
vohī,vohū,1,ī to ū,,False,"[{'id': 'Y0.2AV', 'index': 1}]"
frauuarāne,frauuarāne,0,,,,"[{'id': 'Y0.2AV', 'index': 2}, {'id': 'Y0.3Frauuarane.a', 'index': 0}]"
āϑraō,āϑrō,1,aō to ō,,False,"[{'id': 'Y0.3Frauuarane.a', 'index': 1}, {'id': 'Y0.3FireDed', 'index': 0}]"
ahurahe,ahurahe,0,,,,"[{'id': 'Y0.3FireDed', 'index': 1}, {'id': 'Y0.3FireDed', 'index': 2}]"
mazdā,mazdā,0,,,,"[{'id': 'Y0.3FireDed', 'index': 3}]"
puϑra,puϑra,0,,,,"[{'id': 'Y0.3FireDed', 'index': 4}]"
tauua,tauua,0,,,,"[{'id': 'Y0.3FireDed', 'index': 5}]"
āϑrš,ātarš,2,"ϑ to t, a deleted",,False,"[{'id': 'Y0.3FireDed', 'index': 6}]"
puϑra,puϑra,0,,,,"[{'id': 'Y0.3FireDed', 'index': 7}]"
ahurahe,ahurahe,0,,,,"[{'id': 'Y0.3FireDed', 'index': 8}]"
mazdā,mazdā,0,,,,"[{'id': 'Y0.3FireDed', 'index': 9}]"
xāšnōϑra,xšnaōϑra,1,"ā inserted, ō to aō",,False,"[{'id': 'Y0.3FireDed', 'index': 10}]"
tauua,tauua,0,,,,"[{'id': 'Y0.3FireDed', 'index': 11}]"
āϑrš,ātarš,2,"ϑ to t, a deleted",,False,"[{'id': 'Y0.3FireDed', 'index': 12}]"
puϑra,puϑra,0,,,,"[{'id': 'Y0.3FireDed', 'index': 13}, {'id': 'Y0.3FireDed', 'index': 14}]"
ahurahe,ahurahe,0,,,,"[{'id': 'Y0.3FireDed', 'index': 15}]"
mazdā,mazdā,0,,,,"[{'id': 'Y0.3FireDed', 'index': 16}]"
xšnaōϑra,xšnaōϑra,0,,,,"[{'id': 'Y0.3FireDed', 'index': 17}]"
yaϑā,yaϑā,0,,,,"[{'id': 'Y0.3FireDed', 'index': 18}, {'id': 'Y0.3WazGr', 'index': 0}]"
ahī,ahū,0,ī to ū,,False,"[{'id': 'Y0.3WazGr', 'index': 1}]"
vairiiō,vairiiō,0,,,,"[{'id': 'Y0.3WazGr', 'index': 2}]"
zaōϑā,zaōtā,1,ϑ to t,,False,"[{'id': 'Y0.3WazGr', 'index': 3}, {'id': 'Y0.3WazGr', 'index': 4}]"
yaϑā,yaϑā,0,,,,"[{'id': 'Y0.3WazGr', 'index': 5}]"
ahī,ahū,0,ī to ū,,False,"[{'id': 'Y0.3WazGr', 'index': 6}]"
vairiiō,vairiiō,0,,,,"[{'id': 'Y0.3WazGr', 'index': 7}]"
yō,yō,0,,,,"[{'id': 'Y0.3WazGr', 'index': 8}]"
aṣ̌əm,aṣ̌əm,0,,,,"[{'id': 'Y0.3WazGr', 'index': 9}, {'id': 'Y0.4AV', 'index': 0}]"
voahī,vohū,2,"a inserted, ī to ū",,False,"[{'id': 'Y0.4AV', 'index': 1}]"
vahī,vohū,2,"a to o, ī to ū",,False,"[{'id': 'Y0.4AV', 'index': 2}]"
voahī,vohū,2,"a inserted, ī to ū",,False,"[{'id': 'Y0.4AV', 'index': 3}]"
vahī,vohū,2,"a to o, ī to ū",,False,"[{'id': 'Y0.4AV', 'index': 4}]"
aṣ̌əm,aṣ̌əm,0,,,,"[{'id': 'Y0.4AV', 'index': 5}, {'id': 'Y0.4AVbis', 'index': 0}]"
voh,vohū,1,ū deleted,,False,"[{'id': 'Y0.4AVbis', 'index': 1}]"
vohī,vohū,1,ī to ū,,False,"[{'id': 'Y0.4AVbis', 'index': 2}]"
voh,vohū,1,ū deleted,,False,"[{'id': 'Y0.4AVbis', 'index': 3}]"
vohī,vohū,1,ī to ū,,False,"[{'id': 'Y0.4AVbis', 'index': 4}]"
yaϑā,yaϑā,0,,,,"[{'id': 'Y0.5YAV', 'index': 0}]"
ahī,ahū,0,ī to ū,,False,"[{'id': 'Y0.5YAV', 'index': 1}]"
vairiiō,vairiiō,0,,,,"[{'id': 'Y0.5YAV', 'index': 2}]"
frasϑāiie,frasaiiā,3,"ϑ to ai, āi inserted, e to ā",,False,"[{'id': 'Y0.6a', 'index': 0}]"
staōmē,staōmī,1,ē to ī,,False,"[{'id': 'Y0.6a', 'index': 1}, {'id': 'Y0.8a', 'index': 0}, {'id': 'Y0.8a', 'index': 1}]"
aṣ̌əm,aṣ̌əm,0,,,,"[{'id': 'Y0.8a', 'index': 2}]"
aṣ̌əm,aṣ̌əm,0,,,,"[{'id': 'Y0.8a', 'index': 3}, {'id': 'Y0.9AV', 'index': 0}]"
vohī,vohū,1,ī to ū,,False,"[{'id': 'Y0.9AV', 'index': 1}]"
frauuarāne,frauuarāne,0,,,,"[{'id': 'Y0.9AV', 'index': 2}, {'id': 'Y0.10Frauuarane.a', 'index': 0}, {'id': 'Y0.10Frauuarane.a', 'index': 1}]"
raϑβąm,raϑβąm,0,,,,"[{'id': 'Y0.10Frauuarane.a', 'index': 2}, {'id': 'Y0.10Frauuarane.b', 'index': 0}]"
ahurahe,ahurahe,0,,,,"[{'id': 'Y0.10Frauuarane.b', 'index': 1}, {'id': 'Y0.10ShnumanGen.a', 'index': 0}]"
mamdā,mazdā,1,m to z,,False,"[{'id': 'Y0.10ShnumanGen.a', 'index': 1}, {'id': 'Y0.10ShnumanGen.a', 'index': 2}]"
raēuuatō,raēuuatō,0,,,,"[{'id': 'Y0.10ShnumanGen.a', 'index': 3}]"
xranaŋhatō,xᵛarənaŋᵛhatō,2,"x to xᵛ, a deleted, a to ə, ŋ to ŋᵛ",,False,"[{'id': 'Y0.10ShnumanGen.a', 'index': 4}]"
aməṣ̌anąm,aməṣ̌anąm,0,,,,"[{'id': 'Y0.10ShnumanGen.a', 'index': 5}, {'id': 'Y0.10ShnumanGen.a', 'index': 6}]"
spəṇtanąm,spəṇtanąm,0,,,,"[{'id': 'Y0.10ShnumanGen.a', 'index': 7}]"
miϑrahe,miϑrahe,0,,,,"[{'id': 'Y0.10ShnumanGen.a', 'index': 8}, {'id': 'Y0.10RatuShnumanGen', 'index': 0}]"
